model,algorithm,fpr,tpr
bench,my_rf,8.401478660244204e-05,0.0008864234244538488
bench,my_rf,8.401478660244204e-05,0.009950817797094818
bench,my_rf,0.00016802957320488407,0.01118037286972435
bench,my_rf,0.00016802957320488407,0.013610888710968775
bench,my_rf,0.00039206900414472947,0.015583895687978955
bench,my_rf,0.00039206900414472947,0.017242365320828092
bench,my_rf,0.00042007393301221016,0.017585496969003776
bench,my_rf,0.00042007393301221016,0.018843646345647946
bench,my_rf,0.0004480788618796908,0.019587098250028596
bench,my_rf,0.0006161084350845749,0.02033055015440924
bench,my_rf,0.0007281281505544976,0.02121697357886309
bench,my_rf,0.0007281281505544976,0.02216058561134622
bench,my_rf,0.0009241626526268623,0.02238934004346334
bench,my_rf,0.0010081774392293043,0.02238934004346334
bench,my_rf,0.0012042119413016692,0.022904037515726866
bench,my_rf,0.0015682760165789179,0.024104998284341757
bench,my_rf,0.001736305589783802,0.024705478668649205
bench,my_rf,0.0020443598073260896,0.025334553356971292
bench,my_rf,0.002156379522796012,0.025935033741278736
bench,my_rf,0.0026604682424106645,0.027879446414274277
bench,my_rf,0.003108547104290355,0.028880247054786687
bench,my_rf,0.003276576677495239,0.03028136795150406
bench,my_rf,0.0036126358239050075,0.03176827176026536
bench,my_rf,0.0038366752548448526,0.03271188379274848
bench,my_rf,0.004424778761061947,0.03482786228983187
bench,my_rf,0.0045648034053993505,0.03542834267413931
bench,my_rf,0.004956872409544079,0.0363433604026078
bench,my_rf,0.0057970202755685,0.03897403637195471
bench,my_rf,0.006301108995183153,0.04134736360516985
bench,my_rf,0.007673350509689705,0.04595104655152694
bench,my_rf,0.00786938501176207,0.04723779023218575
bench,my_rf,0.0082614540159068,0.04852453391284456
bench,my_rf,0.008989582166461297,0.05178428457051355
bench,my_rf,0.009857734961353198,0.0560734301727096
bench,my_rf,0.010613868040775177,0.05887567196614434
bench,my_rf,0.011426010977932116,0.06184947958366693
bench,my_rf,0.011846084910944327,0.06365092073658928
bench,my_rf,0.01240618348829394,0.06493766441724809
